Jenis Budidaya Pembesaran,Provinsi,Kabupaten/Kota,Jenis Ikan,Tahun,Volume Produksi,Nilai Produksi
KOLAM AIR TENANG,JAWA TIMUR,KOTA MADIUN,LELE,2020,"168,900 "," Rp2,702,400,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MALANG,LELE,2020,"112,130 "," Rp1,870,670,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA MOJOKERTO,LELE,2020,"196,300 "," Rp3,140,800,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA PASURUAN,LELE,2020,"241,518 "," Rp3,622,770,000 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA PROBOLINGGO,LELE,2020,"143,870 "," Rp2,173,654,996 "
KOLAM AIR TENANG,JAWA TIMUR,KOTA SURABAYA,LELE,2020,"718,649 "," Rp12,935,682,000 "
KOLAM AIR TENANG,JAWA TIMUR,LAMONGAN,LELE,2020,"2,242,144 "," Rp34,365,503,000 "
KOLAM AIR TENANG,JAWA TIMUR,LUMAJANG,LELE,2020,"907,576 "," Rp13,386,865,000 "
KOLAM AIR TENANG,JAWA TIMUR,MADIUN,LELE,2020,"2,149,900 "," Rp32,815,350,000 "
KOLAM AIR TENANG,JAWA TIMUR,MAGETAN,LELE,2020,"1,405,050 "," Rp21,778,275,000 "
KOLAM AIR TENANG,JAWA TIMUR,MALANG,LELE,2020,"5,458,155 "," Rp81,872,325,000 "
KOLAM AIR TENANG,JAWA TIMUR,MOJOKERTO,LELE,2020,"1,096,910 "," Rp17,550,560,000 "
KOLAM AIR TENANG,JAWA TIMUR,NGANJUK,LELE,2020,"5,280,800 "," Rp83,253,569,516 "
KOLAM AIR TENANG,JAWA TIMUR,NGAWI,LELE,2020,"2,623,465 "," Rp41,975,440,000 "
KOLAM AIR TENANG,JAWA TIMUR,PACITAN,LELE,2020,"378,641 "," Rp5,858,725,650 "
KOLAM AIR TENANG,JAWA TIMUR,PAMEKASAN,LELE,2020,"702,046 "," Rp12,057,761,009 "
KOLAM AIR TENANG,JAWA TIMUR,PASURUAN,LELE,2020,"3,849,912 "," Rp60,483,571,131 "
KOLAM AIR TENANG,JAWA TIMUR,PONOROGO,LELE,2020,"1,382,115 "," Rp22,113,840,000 "
KOLAM AIR TENANG,JAWA TIMUR,PROBOLINGGO,LELE,2020,"710,400 "," Rp10,835,994,997 "
KOLAM AIR TENANG,JAWA TIMUR,SAMPANG,LELE,2020,"109,866 "," Rp1,922,655,000 "
